ID,Gender,Age,Education,4. Occupazione,Occupation,5. Luogo di nascita,Birthplace,6. Luogo di residenza,Residence,6.a. Per quanto tempo,7. Pendolare?,"7.a. Se sí, specificare la tratta",8. Lingue parlate in famiglia,,"9. Lingue acquisite per prima e da chi (es: madre, padre, nonna, etc)",10. Lingue acquisite piú tardi e da chi,11. Lingue dei genitori,,12. Capisce l'emiliano parlato?,12.a. Quale varietá?,13. Parla emiliano?,13.a. Quale varietá?,14. Con chi? Risponda solo se ha detto di saper parlare emiliano,14.1.a. Familiari - Selezioni Yes o No per ogni opzione e indichi sesso,14.1.b. Familiari - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,14.2.a. Amici - Selezioni Yes o No per ogni opzione e indichi sesso,14.2.b. Amici - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,14.3.a. Vicini - Selezioni Yes o No per ogni opzione e indichi sesso,14.3.b. Vicini - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,"14.4.a. Compagni di asilo, primaria, medie, superiori - Selezioni Yes o No per ogni opzione e indichi sesso","14.4.b. Compagni di asilo, primaria, medie, superiori - Usi questo spazio nel caso voglia aggiungere ulteriori commenti","14.5.a. Insegnanti di asilo, primaria, medie, superiori - Selezioni Yes o No per ogni opzione e indichi sesso","14.5.b. Insegnanti di asilo, primaria, medie, superiori - Usi questo spazio nel caso voglia aggiungere ulteriori commenti",14.6.a. Compagni di universitá - Selezioni Yes o No per ogni opzione e indichi sesso,14.6.b. Compagni di universitá - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,14.7.a. Docenti universitari - Selezioni Yes o No per ogni opzione e indichi sesso,14.7.b. Docenti universitari - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,14.8.a. Proprio/a compagno/a - Selezioni Yes o No per ogni opzione e indichi sesso,14.8.b. Proprio/a compagno/a - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,14.9.a. Conoscenze - Selezioni Yes o No per ogni opzione e indichi sesso,14.9.b. Conoscenze - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,14.10.a. Colleghi - Selezioni Yes o No per ogni opzione e indichi sesso,14.10.b. Colleghi - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,14.11.a. Sconosciuti (emiliani) - Selezioni Yes o No per ogni opzione e indichi sesso,14.11.b. Sconosciuti (emiliani) - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,14.12.a. Prete - Selezioni Yes o No per ogni opzione e indichi sesso,14.12.b. Prete - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,14.13.a. Dottore - Selezioni Yes o No per ogni opzione e indichi sesso,14.13.b. Dottore - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,14.14.a. Altri - Selezioni Yes o No per ogni opzione e indichi sesso,14.14.b. Altri - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,15. Dove? Risponda solo se ha detto di saper parlare emiliano,15.1.a. Bar - Selezioni Yes o No per ogni opzione,15.1.b. Bar - Usi questo spazio se vuole aggiungere ulteriori commenti,15.2.a. Mercato - Selezioni Yes o No per ogni opzione,15.2.b. Mercato - Usi questo spazio se vuole aggiungere ulteriori commenti,15.3.a. Negozio (quale?) - Selezioni Yes o No per ogni opzione,15.3.b. Negozio (quale?) - Usi questo spazio se vuole aggiungere ulteriori commenti,15.4.a. Scuola - Selezioni Yes o No per ogni opzione,15.4.b. Scuola - Usi questo spazio se vuole aggiungere ulteriori commenti,15.5.a. Universitá - Selezioni Yes o No per ogni opzione,15.5.b. Universitá - Usi questo spazio se vuole aggiungere ulteriori commenti,15.6.a. Lavoro - Selezioni Yes o No per ogni opzione,15.6.b. Lavoro - Usi questo spazio se vuole aggiungere ulteriori commenti,15.7.a. Chiesa - Selezioni Yes o No per ogni opzione,15.7.b. Chiesa - Usi questo spazio se vuole aggiungere ulteriori commenti,15.8.a. Uffici pubblici - Selezioni Yes o No per ogni opzione,15.8.b. Uffici pubblici - Usi questo spazio se vuole aggiungere ulteriori commenti,15.9.a. Other - Selezioni Yes o No per ogni opzione,15.9.b. Other - Usi questo spazio se vuole aggiungere ulteriori commenti,"16. Quando parla emiliano, di che cosa parla? Risponda solo se ha detto di saper parlare emiliano",16.1.a. Saluti - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.1.b. Saluti - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.2.a. Auguri/condoglianze - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.2.b. Auguri/condoglianze - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.3.a. Calcoli (mentali) - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.3.b. Calcoli (mentali) - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.4.a. Al telefono - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.4.b. Al telefono - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.5.a. Per parlare di fatti quotidiani - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.5.b. Per parlare di fatti quotidiani - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.6.a. Per raccontare storie - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.6.b. Per raccontare storie - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.7.a. Per parlare di politica - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.7.b. Per parlare di politica - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.8.a. Per scherzare - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.8.b. Per scherzare - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.9.a. Per esprimere rabbia - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.9.b. Per esprimere rabbia - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.10.a. Per esprimere gioia - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.10.b. Per esprimere gioia - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.11.a. Per dire parolacce - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.11.b. Per dire parolacce - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.12.a. Per pensare - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.12.b. Per pensare - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.13.a. Per pregare - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.13.b. Per pregare - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,16.14.a. Other - Selezioni Yes o No a seconda se parla emiliano per queste tematiche,16.14.b. Other - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,17. Usa parole italiane quando parla emiliano? Risponda solo se ha detto di saper parlare emiliano,17.a. Esempi,18. Usa parole emiliane quando parla italiano?,18.a. Esempi,19. Usa parole di altre lingue quando parla italiano?,19.a. Quali lingue?,19.b. Esempi,20. Legge e scrive in emiliano?,20.a. Quale varietá?,21. Che tipo di testi? Risponda solo se ha detto di leggere e scrivere in emiliano,21.1.a. Romanzi/storie/poesie - Leggo,21.1.b. Romanzi/storie/poesie - Scrivo,21.1.c. Romanzi/storie/poesie - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.2.a. Quotidiani e altra stampa (specifichi) - Leggo,21.2.b. Quotidiani e altra stampa (specifichi) - Scrivo,21.2.c. Quotidiani e altra stampa (specifichi) - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.3.a. Materiali didattici (specifichi) - Leggo,21.3.b. Materiali didattici (specifichi) - Scrivo,21.3.c. Materiali didattici (specifichi) - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.4.a. Depliants - Leggo,21.4.b. Depliants - Scrivo,21.4.c. Depliants - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.5.a. Altri materiali promozionali (specifichi) - Leggo,21.5.b. Altri materiali promozionali (specifichi) - Scrivo,21.5.c. Altri materiali promozionali (specifichi) - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.6.a. Altri materiali di stampa (specifichi) - Leggo,21.6.b. Altri materiali di stampa (specifichi) - Scrivo,21.6.c. Altri materiali di stampa (specifichi) - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.7.a. Messaggi sul cellulare - Leggo,21.7.b. Messaggi sul cellulare - Scrivo,21.7.c. Messaggi sul cellulare - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.8.a. E-Neverl - Leggo,21.8.b. E-Neverl - Scrivo,21.8.c. E-Neverl - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.9.a. Facebook - Leggo,21.9.b. Facebook - Scrivo,21.9.c. Facebook - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.10.a. WhatsApp - Leggo,21.10.b. WhatsApp - Scrivo,21.10.c. WhatsApp - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.11.a. Social media (specifichi) - Leggo,21.11.b. Social media (specifichi) - Scrivo,21.11.c. Social media (specifichi) - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,21.12.a. Altri - Leggo,21.12.b. Altri - Scrivo,21.12.c. Altri - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,22. Programmi TV/Radio in emiliano e uso dell'emiliano su internet,22.1.a. Guardo programmi TV in emiliano - Quanto spesso?,"22.1.b. Guardo programmi TV in emiliano - Specifichi cosa (quali siti, quali programmi, etc)",22.2.a. Ascolto programmi radio in emiliano - Quanto spesso?,"22.2.b. Ascolto programmi radio in emiliano - Specifichi cosa (quali siti, quali programmi, etc)",22.3.a. Ascolto/Scrivo in emiliano su internet - Quanto spesso?,"22.3.b. Ascolto/Scrivo in emiliano su internet - Specifichi cosa (quali siti, quali programmi, etc)","23. Le piace parlare emiliano? Se non lo parla, le piacerebbe poterlo parlare? Perché?",,,"24. Se ha/avesse figli, in quali lingue parlerebbe con loro? Perché?",,25. Pensa che l’emiliano dovrebbe essere mantenuto? Perché?,,"26. Cosa dovrebbe essere fatto per preservare e mantenere l’emiliano, e chi dovrebbe farlo?",27. Dove e quando si dovrebbe usare l’emiliano? Perché?,28. Pensa che l’emiliano dovrebbe essere studiato a scuola/universitá? Perché?,,29. Quale varietá di emiliano andrebbe insegnata? Perché?,30. Pensa che si dovrebbe usare l’emiliano come lingua dell’istruzione nelle scuole e universitá? Perché?,,31. Quale varietá di emiliano le piacerebbe venisse usata? Perché?,"32. Studi recenti dimostrano che crescere parlando due o piú lingue porta vantaggi quali maggior concentrazione, miglior attenzione, memoria, e creativitá. Sapere questo la fa riconsiderare il valore dell'emiliano e il suo ruolo nella crescita di un bambino? Perché?",,"33. Come si definirebbe in termini di identiá? (Es: italiano, emiliano, europeo, etc…)",34. Che cosa vuole dire secondo Lei essere montanaro/a?,,35. Che cosa vuole dire seondo Lei essere un cittadino/pianeggiante?,,"36. Come reputa d’istinto una persona che parla emiliano?: Indichi per ogni voce della tabella (a. - h.) una delle cinque opzioni a seconda di quanto lei sia d'accordo nell'attribuire uno dei due aggettivi all'estremità della tabella ad un emiliano parlante. Se non ha forti opinioni in merito alla caratteristica indicata segnali l'opzione 3 che significa ""per me è indifferente"". Si ricordi che le valutazioni date devono essere sole impressioni su una persona che parla emiliano e quindi attribuite d'istinto: (Es. Voce a. dia 1 se la reputa istruita, 2 se abbastanza istruita, 3 se indifferente, 4 se poco istruita, 5 se non istruita)",EDUCATED,INTELLIGENT,DILIGENT,FRIENDLY,KIND,TRUSTWORTHY,REFINED,FAMILIAR,37. Come direbbe “il letto” nel suo emiliano?,38. Come direbbe “il sole” nel suo emiliano?,39. Come direbbe “il mento” nel suo emiliano?,"40. Traduca ""Non se ne sono nemmeno accorti"" nel suo emiliano",41. Traduca “Sono arrivati molti studenti ieri” nel suo emiliano,42. Traduca “Il pattume é accanto alla porta” nel suo emiliano,43. Traduca “Non ci sono piú le bacinelle sulla tavola” nel suo emiliano,44. Traduca “Mi ha graffiato il gatto” e “Mi ha graffiato la gatta” nel suo emiliano,,,
616857-616848-63527574,M,57,Primary/Middle School,Operaio,ISCO-LAB,Pavullo nel Frignano ,MO-RU ,Pavullo nel Frignano ,MO-RU ,20 anni,Sí,Pavullo serramazzoni,Italiano e dialetto ,BD,Nonni dialetto,Scuola italiano francese ,80% dialetto,BD,VG,Modenese bolognese reggiano,VG,Modenese ( montanaro ),,"Yes,F",,"Yes,M",,No,,Yes,,,,,,,,,,Yes,,"Yes,M,F",,No,,,,,,,,,Yes,,No,,,,,,,,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,,Yes,,No,,Yes,,,,,Se mi arrabbio urlò in napoletano,Yes,Anche in napoletano ,,,,,,,Often,,Sometimes,,Never,,,Yes,Quol chi ciacaren so per i mount . Quello che parlano sui monti perché in pianura è differente ,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,Never,,Never,,,,Perché la maggior parte della gente che ho intorno non lo capisce ,Y,Intimacy,Ho figli e a volte parlo in dialetto   Poco però!  ,y,Ormai lo parlano in pochi,na,Dovrebbe essere la famiglia   Però famiglie di modenesi ormai sono rare ,A cena   Con gli amici   Purtroppo c'è uno che non capisce e devi tradurre   Quindi parli in italiano ,Non saprei   Ti ricordo che in zona ci sono tante varianti .  Un secchio può chiamarsi ;  S cell  Mastel   Parol   Sac   Calzeder   Bugiot   Bugiol   Ecc..  Solo in pochi km ,i,Il bologneesee perché è da sboroni   Con un bolognese ridi anche se non vuoi   ,Il modenese è troppo complicato ,n,FRANCESCO GUCCINI   IL CANTAUTORE A VOLTE CI PROVA MAH  È MOLTO COMPLICATO   O IMPARI DA PICCOLO DOPO NON CREDO SIA POSSIBILE ,Io parlo con le mie figlie per fargli ricordare da dove vengono   Gli rimarrà per tutta la vita ,y,Me a sun ed moodna   Sono di modena   Specificando fuori modena   ,"Un mondo a se molto diverso da chi abita in pianura ,in città     Modo di vivere   Di pensare   Scarpa grossa cervello fine ",p,Pensano che parlare in dialetto sia la gente   Si sentono superiori   ( non so in cosa potrebbero esserlo )   Un montanaro lavora e pensa ,n,,3,5,2,5,3,5,2,5,Uh let,Uh sul,Eh mentloz ,I nes nen gnenc ada ,Aier Le' ariva' tenc ragazoo chi ven a scola   ,E' rosck le' ed fienc  a loss  ,Enghe pio' al bacinel suvra a la tavla  ,Eh mah sgrafigna' e gat  Eh mah sgrafigna' la gata  ,,,
616857-616848-63524054,F,20,Secondary School,studentessa,STUDENT,Mirandola,MO-UR,Mirandola,MO-UR,sempre,No,,Arabo e Italiano,BO,Arabo e italiano da genitori,inglese francese tedesco a scuola,Arabo e italiano ,BO,G,Dialetto mirandolese,50/50,dialetto mirandolese,,No,,Yes,,Yes,,No,,No,,Yes,,No,,Yes,,Yes,,No,,No,,No,,No,,No,,,Yes,,Yes,,No,,No,,Yes,,No,,No,,No,,No,,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,No,,Yes,,No,,Yes,,No,,No,,No,,,,Often,,Very Often,usta,Sometimes,francese o inglese,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,,Never,,Never,,si mi piace e vorrei migliorare ,Y,,italiano ,o,sì ,y,"i parenti o vicini, il comune con qualche convegno o serata",sempre ,"no, non lo penso, perché in questo modo verrebbe imposto e non sarebbe amato",n,Dipende dal luogo in cui si vive  ,"no, non dovrebbe essere obbligatoria una lingua tradizionale.",n,,no,n,Emiliana,di montagna,i,di paese,i,,3,4,2,5,5,5,2,5,let,sol,,,,,,,,,
616857-616848-64044058,M,50,Secondary School,Cuoco,ISCO-LAB,Bologna,BO-UR,Bologna,BO-UR,Da sempre,No,,Italiano/ bolognese,BD,Nonna,Nessuna,Bolognese,MD,VG,Bolognese,VG,Bolognese,,Yes,,Yes,,Yes,,No,,No,,No,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,Yes,,,Yes,,Yes,,Yes,Nel quartiere,No,,No,,Yes,,No,,No,,,,,Yes,,Yes,,No,,,,,,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,No,,,,Sometimes,,Sometimes,,Sometimes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every week,,Every month,,Never,,Mi piace perché è folkloristico,Y,tradition,Sicuramente bolognese per mantenere le origini,y,Assolutamente sì... perche i giovani nn lo parlano pi,y,Purtroppo il dialetto si imparava in casa una volta... magari qualche corso..,Nelle serate goliardiche,Mi sembra esagerato,n,"Bolognese... perche è il capoluogo, sono di parte",No,n,Bolognese,È solo bagaglio personale,n,Folklore,"Nativo dei nostri appennini, a volte si associa a una persona burbera e alla buona",i,Un borghesotto,n,,3,3,3,5,5,5,2,5,Al lèt,Al sol,La gaggia,In sen brisa acort,"Air, Ien arrive' dimondi studant",Al rosc l è davanti all osh ,,"Al gat al m ha sgrafigne', la gata l ha m à sgrafigne'",,,
616857-616848-63782689,F,25,Bachelor's Degree,Educatore,ISCO-PRO,Bologna,BO-UR,Valsamoggia,BO-RU,5 anni,No,,Italiano,MI,Italiano,Italiano,Bolognese e Milanese,MD+,50/50,,NO,,,Yes,,No,,No,,No,,No,,No,,No,,No,,Yes,,No,,Yes,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Often,,50/50,"Rusco oppure ""dare il tiro""",Often,Inglese e spagnolo,"Hello, hola, Chico, stage",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,,Every week,,Never,,"Si, perché penso sia importante non perdere ciò che è legato alla nostra tradizione",Y,tradition,"Italiano sicuramente visto dove abitiamo, ma cercherei anche di indurli verso l'inglese e lo spagnolo visto il mondo lavorativo",o,Si per l'importanza della tradizione,y,"La scuola, i genitori, eventi adatti anche ai giovani come spettacoli di teatro, menù dei ristoranti",Parlando con amici o sconosciuti per impararlo e ricordarlo,"Si, perché è una lingua che fa parte di noi",y,Tutte ,"Oltre alle lingue già in uso, penso si possano mettere dei corsi a scelta con il dialetto",y,,"Si, perché, come le altre lingue studiate a scuola, può essere un ulteriore stimolo per il bambino",y,Europeo,"Sapere risolvere i problemi con ciò che si ha, sentire molto il senso di comunità e volontariato, avere il senso di famiglia molto forte ",p,"Sapere che è importante contare su stessi, avere tutto a disposizione",p,,2,5,4,5,5,5,2,5,,,,Am son neanca acorto,Assi rivè molti con i ieri,Il rusco è vicino alla porta,,,,,
616857-616848-62497559,M,65,Primary/Middle School,Pensionato,RETIRED,Finale Emilia,MO-UR,Crevalcore,BO-UR,20 anni,No,,Dialettl locale,MD,Madre,Italiano scuola,Dialetto,MD,VG,Misto Bolognese Modenese,VG,Misto Bolognese Modenese,,"Yes,M,F",,No,,"Yes,M,F",,No,,No,,No,,No,,No,,"Yes,M,F",,"Yes,M,F",,"Yes,M,F",,No,,No,,Other,,,Yes,,Yes,,Yes,,No,,No,,Yes,,No,,Yes,,Yes,,,Yes,,No,,No,,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,No,,Often,,Sometimes,Rusco ,Sometimes,Inglese,Lockdown!,Yes,,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,,Yes,Yes,,No,No,,Yes,Yes,,Yes,Yes,,No,No,,No,No,,,Never,,Never,,Never,,"Si, sono le mie radici",Y,roots,"Italiano, inglese(abita a Londra) dialetto",y,Si è parte di noi della nostra tradizione,y,Permettere che venga parlato dappertutto,Anche a scuola dai ragazzi,Si ma inserito come cultura generale,y,Non so,No,n,,Ci insegna a valorizzare le nostre radici,y,Castelfranchese,Abitare poco lontano da me,i,Sono io,i,,4,4,4,4,4,4,4,4,Al let ,Al soul ,La besla ,In sein menga accort,Iein arrivé dimondi studeint air ,Al rosc l’è ates ala porta ,An ghein piò al bacinel ed co ala tevla ,Al gat al ma sgrafgné ,,,
616857-616848-62484107,F,56,Secondary School,Impiegata,ISCO-CLE,Castelfranco Emilia,MO-UR,Castelfranco Emilia,MO-UR,Dalla nascita,No,,"Inglese, dialetto",BD,Dialetto da tutti,"Inglese, io",Dialetto,MD,VG,"Mo- Bo- Fe, Mantovano a sud del Po",VG,Mo-Bo-Fe,,Yes,,Yes,,Yes,,No,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Tutto,Sometimes,Quando il corrispondente è di una zona assai lontana e il lessico potrebbe non essere capito.,Very Often,,Sometimes,Inglese o Francese,Termini scientifici,Yes,Quasi tutte,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,Io penso in Emiliano,Y,thinking,"Bilingue, emiliano/italiano",y,Come la cucina la lingua si è formata sulle caratteristiche di un popolo,y,La didattica non è il mio campo,In qualunque occasione,Sarebbe ottimo.,y,Questo è un grosso problema per le varietà minori,Bisogna ripartire dall'asilo,n,"Bolognese, ha un numero di parlanti più cospicuo","Si, forse è per la ricerca del vocabolo più adatto ae  arie situazioni.",y,Indiano padano delle tribù meridionali (esclusa la politica),"Aver vissuto, prima dell'avvento dei nuovi mezzi di comunicazione, in ambienti più isolati e conservativi della lingua",i,Agli effetti della lingua più trasformazioni nel tempo,i,,4,4,4,5,4,4,4,5,Al lèt,Al sòl,"La bóssla, la basèla",In as 'n en gnenc adèe,I en rivée dimôndi student aîr,Al rósc l è ad banda a la porta,An gh è pió i cadée(n) in vétta a la tevla,A m à sgranfgnee al gât  A m à sgranfgnee la gâta,,,
616857-616848-63580353,M,62,Secondary School,Libero professionista,ISCO-PRO,Savigno,BO-RU,Zocca,MO-RU,60 anni,No,,Italiano dialetto,BD,Dialetto da madre,Italiano scuola,Dialetto,MD,VG,Modenese,VG,Modenese,,Yes,,Yes,,Yes,,No,,No,,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,,Yes,,Yes,,No,,No,,No,,No,,No,,No,,No,,,Yes,,No,,No,,Yes,,No,,No,,No,,Yes,,Yes,,No,,Yes,,No,,No,,No,,Sometimes,Sedel (ragade),Never,,Never,,,Yes,Modenese,,No,No,,No,No,,No,No,,Yes,No,,Yes,No,,No,No,,Yes,Yes,,Yes,Yes,,Yes,Yes,,No,No,,No,No,,No,No,,,Never,,Never,,Never,,Mi piace parlarlo ma non scriverlo,Y,,Italianosi,o,Si sono nostre radici,y,Scuola primaria,In famiglia,No dialetto troppo capillarizzato,n,Nessuna,No,n,Il dialetto è troppo settoriale diverso da paese a paese quindi da mantenersi solo in famiglia,Importante mantenerlo in famiglia,y,Italiano ,Rispetto delle tradizioni,p,Sono montanaro,i,,5,5,5,5,5,5,5,5,U let,Sol,Mentozi,In sne gnanc ada ,I en arriva dimondi student er ,Al rosc le svin a la porta ,Anghe pio il cadin sover a la tavla ,E ma sgrafigna e gat e enc la gata ,,,
616857-616848-63598753,M,65,Master's or higher,Pensione,RETIRED,Zocca,MO-RU ,Guiglia,MO-RU,55 anni,No,,Italiano e dialetto,BD,Dialetto dalla madre,Italiano dalla scuola,Dialetto,MD,VG,Modenese,VG,Modenese,,"Yes,M,F",,"Yes,M",,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,,Yes,,No,,No,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,No,,No,,Often,A son anda in ferie in Ungheria ,Never,,Sometimes,Francese,Tante grazie merci ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,,Never,,Never,,Mi piace parlarlo,Y,,Italiano e anche il dialetto per non dimenticare le origini,y,Sì perché è bello mantenerlocon,y,Usarlo in più occasioni e continuare a parlarlo con famigliari e amici,In famiglia tra amici stretti perché espressivo,No,n,Dialetto troppo locale da mantenere solo orale,No,n,,Si vengono consolidati valori  importanti,y,Italiano,Uno che apprezza le tradizioni della montagna,p,Non saprei essendo nato e cresciuto in montagna ,i,,2,5,3,5,3,3,1,5,u let,u sol,al ment,Is ne gnanc ada’,Ien arriva’ dimande studentu,U rosc le’ svin ala porta ,en ghe più al bacinele sovra la tavla,Ma sgraffigne’ al gat e anc la gata,,,
616857-616848-63600750,F,63,Primary/Middle School,Casalinga,NOTIW,Zocca,MO-RU ,Guiglia,MO-RU,55anni,No,,Italiano e dialetto ,BD,Dialetto dalla famiglia,Italiano da scuola,Dialetto ,MD,VG,,VG,,,Yes,,Yes,,Yes,,Yes,,No,,,,,,Yes,,Yes,,Yes,,No,,Yes,,No,,Yes,,,Yes,,Yes,,Yes,,No,,,,Yes,,Yes,,No,,Yes,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,Yes,,Never,,Sometimes,Che roba....mi che fat lavor ...ZIO KANTA!!!!,Never,,,Yes,Modenese,,Yes,Yes,,No,No,,No,No,,Yes,Yes,Materiale x commedie dialettali,No,No,Testi x schetck,No,No,,Yes,Yes,,No,No,,No,No,,Yes,Yes,,No,No,,No,No,,,Every year,,Never,,Never,,Si,Y,,Italiano/ dialetto  x mantenere l'importantissima tradizione  del dialetto ,y,Si vedi sopra,y,Dibulgarli anche a scuola,Nel quotidiano e nello specifico nelle rappresentazioni  teatrali,X nantenere le nostre tradizioni ,y,Ogni città  il proprio  dialetto ,Anche....,y,In ogni zona il proprio ,Non saprei,i,Emiliano doc,Essere residente in montagna ,i,Abitare in pianura,i,,3,3,3,3,3,3,3,3,Al let,Al sol,La basleta,In s'in gnac ade',Aier glin arive' dimondi studeint ,Al rosc l'è  areint a la porta,An gh'e' pio'  al mastedi in zena a la tevla,Al gat al m'ha sgranfgne ...la gata la m'ha sgranfgne,,,
616857-616848-62642579,M,61,Primary/Middle School,Pensionato,RETIRED,Modeba,MO-UR,Modena,MO-UR,Dalla nascita,No,,Italiano e dialetto modenese,BD,Dialetto da genitori,Un po'  di inglese,Dialetto ,MD,VG,Modenese ,G,Modenese ,,Yes,,Yes,,No,,Yes,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,No,,No,,No,,No,,No,,Yes,,No,,No,,No,,,Yes,,No,,No,,Yes,,No,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,No,,No,,Sometimes,A son anda’ al merca’ e ho incontrato una amica,Sometimes,Che bel vestito vaca d’un chen sle cher ,Never,,,No,Modenese ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,,Never,,Never,,Sì perché è una usanza dei miei genitori ,Y,parents/family,Italiano e modenese ,y,Sì perché è utile,y,Famiglia e  Amici stretti ,In famiglia per mantenere vive le tradizioni ,No troppo settoriale,n,Penso che il dialetto deve essere mantenuto oralmente e non insegnato,No,n,Modenese ,Sì perché si ha rispetto delle tradizioni ,y,Italiano,Amare la montagna,i,Non saprei avendo sempre vissuto in montagna,i,,4,4,4,5,4,5,4,5,u let,Al sol,Al ment,Is ne gnanc ada’,Ien arriva’ dimande student ier,Al rusc  le svin ala porta,En ghe’ piu al bacinele inco’ ala tavla ,Al ma’ sgrafigna al gat là me sgrafigne’ la gata ,,,
