birth_place_it,lat,long
Pavullo nel Frignano ,44.339694,10.8341135
Mirandola,44.8872071,11.0661063
Bologna,44.4938203,11.3426327
Finale Emilia,44.834574,11.293905
Castelfranco Emilia,44.5950245,11.0529006
Savigno,44.3919473,11.0745599
Zocca,44.3472638,10.990407
Modeba,NA,NA
Guiglia mo ,NA,NA
Modena,44.6458885,10.9255707
Mesola (Fe),NA,NA
Guiglia,44.4241322,10.962119
Castelfranco Emilia ,44.5950245,11.0529006
Brescia ,45.5398022,10.2200214
Francia,-33.28253515,-66.34082394382389
Carpi (MO),NA,NA
Giappone,44.1632178,10.3726279
Carpi,44.7835699,10.8854523
modena ,44.6458885,10.9255707
Pagani,40.7498877,14.6133234
Modena ,44.6458885,10.9255707
Scandiano ,44.5993449,10.6878385
Sassuolo,44.5409769,10.7829023
Carpi(Mo),NA,NA
Bazzano Bologna ,NA,NA
Sassuolo ,44.5409769,10.7829023
Scandiano,44.5993449,10.6878385
Carpi ,44.7835699,10.8854523
Torino,45.0677551,7.6824892
ferrara,44.8372737,11.6186451
Reggio Emilia ,44.6978389,10.6304971
Vignola ,44.4784141,11.0090928
MO,63.44582685,18.452871890924182
bologna,44.4938203,11.3426327
Vignola,44.4784141,11.0090928
Mirandola (mo),NA,NA
reggio emilia,44.6978389,10.6304971
Cento (FE),NA,NA
Sassuolo (Modena),NA,NA
Cento (Fe),NA,NA
Reggio Emilia,44.6978389,10.6304971
Correggio (RE),NA,NA
Correggio,44.770561,10.7797829
Mirandola (MO),NA,NA
daiano (tn),NA,NA
Pavullo nel Frignano,44.339694,10.8341135
Bologna ,44.4938203,11.3426327
Loreto Aprutino PE,NA,NA
Vignola (MO),NA,NA
Bazzano,44.5040658,11.0821527
Mofena,NA,NA
bari,41.1257843,16.8620293
Pistoia,43.9336213,10.9174238
Lama Mocogno (MO),NA,NA
Roma,41.8933203,12.4829321
Bari,41.1257843,16.8620293
Reggio emilia,44.6978389,10.6304971
Bentivoglio (Bo),NA,NA
 Bentivoglio,44.6357918,11.4171933
Bentivoglio,44.6357918,11.4171933
Bentivoglio ,44.6357918,11.4171933
Cento ,44.7274395,11.2903029
bologna ,44.4938203,11.3426327
San Secondo Parmense,44.9201605,10.229558
Sassuolo (MO) ,NA,NA
Albania ,5.7587654,-73.9151617
Pavullo,44.339694,10.8341135
Pavullo nel frignano,44.339694,10.8341135
Guiglia ,44.4241322,10.962119
Cento,44.7274395,11.2903029
Sassuolo Modena,NA,NA
carpi ,44.7835699,10.8854523
Ravenna,44.4161414,12.2017617
Matelica,43.25656,13.0105143
modena,44.6458885,10.9255707
Bazzano(Bo) ,NA,NA
Vignola (mo),NA,NA
Bentivoglio (BO),NA,NA
BOLOGNA,44.4938203,11.3426327
Reggio nell'Emilia (RE),NA,NA
Castelfranco emilia,44.5950245,11.0529006
Faenza,44.2855555,11.8832055
pavullo nel frignano,44.339694,10.8341135
Vignola (mi),NA,NA
Verona,45.4384958,10.9924122
Guiglia modena,NA,NA
Ferrara ,44.8372737,11.6186451
Vignola (MO) ,NA,NA
Parma ,44.8013678,10.3280833
Pavullo (MO),NA,NA
Palermo,38.1112268,13.3524434
Carpi (MO) ,NA,NA
Milano ,45.4641943,9.1896346
Bo,7.962065,-11.73665
Montese ,44.2685063,10.9411886
Soave ,45.4202303,11.247722
Pavullo Modena,NA,NA
Bazzano (BO) ,NA,NA
Formigine (Modena),NA,NA
Sestola,44.230455,10.771404
Settefrati FR,NA,NA
Cento (FE) ,NA,NA
mirandola,44.8872071,11.0661063
VIGNOLA,44.4784141,11.0090928
Svizzera,55.0473993,24.2586917
Messina,38.1937571,15.5542082
Monfalcone,45.8049454,13.5330592
SALA BOLOGNESE (BO) ,NA,NA
Formigine,44.5751432,10.8470277
Camposanto “Modena”,NA,NA
Montefiorino (Modena),NA,NA
Vignola  Modena,NA,NA
Rimini,44.0593886,12.5684371
Sassuolo MO,NA,NA
Brasile ,44.4635909,8.9086003
Castelnovo monti,44.4355622,10.4032946
Ferrara,44.8372737,11.6186451
MODENA,44.6458885,10.9255707
Formigine (Mo),NA,NA
Trieste,45.6496485,13.7772781
Aosta ,45.7370885,7.3196649
Perugia,43.1119613,12.3890104
New York ,40.7127281,-74.0060152
Crotone,39.0806223,17.127196
Romania,45.49288425,21.71999265492126
Minsk Bielorussia,NA,NA
Empoli,43.7194884,10.9458556
