col_id,old,new
1,Unique Response Number,id
2,1. Sesso,gender
3,"1.a. Se selezionate ALTRO , prego di specificare",gender_other
4,2. Etá,age
5,3. Livello di istruzione piú alta,education
6,4. Occupazione,profession_it
7,Occupation,profession
8,5. Luogo di nascita,birth_place_it
9,Birthplace,birth_place
10,6. Luogo di residenza,current_place_it
11,Residence,current_place
12,6.a. Per quanto tempo,current_place_for
13,7. Pendolare?,commuter
14,"7.a. Se sí, specificare la tratta",commuter_line
15,8. Lingue parlate in famiglia,languages_family_it
16,Family languages,languages_family
17,"9. Lingue acquisite per prima e da chi (es: madre, padre, nonna, etc)",first_langacq
18,10. Lingue acquisite piú tardi e da chi,later_langacq
19,11. Lingue dei genitori,languages_parents_it
20,Parents languages,languages_parents
21,12. Capisce l'emiliano parlato?,understand
22,12.a. Quale varietá?,understand_var
23,13. Parla emiliano?,speak
24,13.a. Quale varietá?,speak_var
25,14. Con chi? Risponda solo se ha detto di saper parlare emiliano,Q14
26,14.1.a. Familiari - Selezioni Sí o No per ogni opzione e indichi sesso,with_family
27,14.1.b. Familiari - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_family_comments
28,14.2.a. Amici - Selezioni Sí o No per ogni opzione e indichi sesso,with_friends
29,14.2.b. Amici - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_friends_comments
30,14.3.a. Vicini - Selezioni Sí o No per ogni opzione e indichi sesso,with_neighbours
31,14.3.b. Vicini - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_neighbours_comments
32,"14.4.a. Compagni di asilo, primaria, medie, superiori - Selezioni Sí o No per ogni opzione e indichi sesso",with_schoolmates
33,"14.4.b. Compagni di asilo, primaria, medie, superiori - Usi questo spazio nel caso voglia aggiungere ulteriori commenti",with_schoolmates_comments
34,"14.5.a. Insegnanti di asilo, primaria, medie, superiori - Selezioni Sí o No per ogni opzione e indichi sesso",with_teachers
35,"14.5.b. Insegnanti di asilo, primaria, medie, superiori - Usi questo spazio nel caso voglia aggiungere ulteriori commenti",with_teachers_comments
36,14.6.a. Compagni di universitá - Selezioni Sí o No per ogni opzione e indichi sesso,with_unimates
37,14.6.b. Compagni di universitá - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_unimates_comments
38,14.7.a. Docenti universitari - Selezioni Sí o No per ogni opzione e indichi sesso,with_uniprofs
39,14.7.b. Docenti universitari - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_uniprofs_comments
40,14.8.a. Proprio/a compagno/a - Selezioni Sí o No per ogni opzione e indichi sesso,with_partner
41,14.8.b. Proprio/a compagno/a - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_partner_comments
42,14.9.a. Conoscenze - Selezioni Sí o No per ogni opzione e indichi sesso,with_acquantainces
43,14.9.b. Conoscenze - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_acquantainces_comments
44,14.10.a. Colleghi - Selezioni Sí o No per ogni opzione e indichi sesso,with_colleagues
45,14.10.b. Colleghi - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_colleagues_comments
46,14.11.a. Sconosciuti (emiliani) - Selezioni Sí o No per ogni opzione e indichi sesso,with_notknown
47,14.11.b. Sconosciuti (emiliani) - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_notknown_comments
48,14.12.a. Prete - Selezioni Sí o No per ogni opzione e indichi sesso,with_priest
49,14.12.b. Prete - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_priest_comments
50,14.13.a. Dottore - Selezioni Sí o No per ogni opzione e indichi sesso,with_doctor
51,14.13.b. Dottore - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_doctor_comments
52,14.14.a. Altri - Selezioni Sí o No per ogni opzione e indichi sesso,with_others
53,14.14.b. Altri - Usi questo spazio nel caso voglia aggiungere ulteriori commenti,with_others_comments
54,15. Dove? Risponda solo se ha detto di saper parlare emiliano,Q15
55,15.1.a. Bar - Selezioni Sí o No per ogni opzione,at_pub
56,15.1.b. Bar - Usi questo spazio se vuole aggiungere ulteriori commenti,at_pub_comments
57,15.2.a. Mercato - Selezioni Sí o No per ogni opzione,at_market
58,15.2.b. Mercato - Usi questo spazio se vuole aggiungere ulteriori commenti,at_market_comments
59,15.3.a. Negozio (quale?) - Selezioni Sí o No per ogni opzione,at_shop
60,15.3.b. Negozio (quale?) - Usi questo spazio se vuole aggiungere ulteriori commenti,at_shop_comments
61,15.4.a. Scuola - Selezioni Sí o No per ogni opzione,at_school
62,15.4.b. Scuola - Usi questo spazio se vuole aggiungere ulteriori commenti,at_school_comments
63,15.5.a. Universitá - Selezioni Sí o No per ogni opzione,at_uni
